96583,Staklim Mempawah,KALIMANTAN,KALIMANTAN,KALIMANTAN,109.19,0.075,125.5,103.4863
96585,Stamet Maritim Pontianak,KALIMANTAN,KALIMANTAN,KALIMANTAN,109.34,-0.03,100.5,154.7176
96595,Stamet Beringin,KALIMANTAN,KALIMANTAN,KALIMANTAN,114.53,-0.56,104,101.6622
96607,Stamet Temindung,KALIMANTAN,KALIMANTAN,KALIMANTAN,117.16,-0.48,104.4,113.8781
96615,Stamet Rahadi Oesman,KALIMANTAN,KALIMANTAN,KALIMANTAN,109.97,-1.8,143.3,68.5431
96633,Stamet Sultan Aji M S Sepinggan,KALIMANTAN,KALIMANTAN,KALIMANTAN,116.9,-1.26,34.4,30.5721
96645,Stamet Iskandar,KALIMANTAN,KALIMANTAN,KALIMANTAN,111.66,-2.73,97.6,132.831
96653,Stamet Sanggu,KALIMANTAN,KALIMANTAN,KALIMANTAN,114.9,-1.67,66.2,49.8308
96655,Stamet Tjilik Riwut,KALIMANTAN,KALIMANTAN,KALIMANTAN,113.95,-2.22,43.2,68.8097
96695,Stamet Gusti Syamsir Alam,KALIMANTAN,KALIMANTAN,KALIMANTAN,116.17,-3.3,214,59.8126
96733,Staklim Tangerang Selatan,JAWA,JAWA,JAWA,106.7508,-6.2615,175.7,36.3023
96737,Stamet Maritim Serang,JAWA,JAWA,JAWA,106.11,-6.1118,70,46.4986
96739,Stamet Budiarto,JAWA,JAWA,JAWA,106.5639,-6.2867,31.1,55.1397
96741,Stamet Maritim Tanjung Priok,JAWA,JAWA,JAWA,106.8805,-6.1078,3.5,36.7976
96747,Halim Perdana Kusuma Jakarta,JAWA,JAWA,JAWA,106.8893,-6.2704,117.1,39.6243
96751,Stamet Citeko,JAWA,JAWA,JAWA,106.85,-6.7,94.7,87.3473
96753,Staklim Bogor,JAWA,JAWA,JAWA,106.75,-6.5,278,196.6058
96783,Stageof Bandung,JAWA,JAWA,JAWA,107.5973,-6.8836,114.5,103.7289
96791,Stamet Kertajati,JAWA,JAWA,JAWA,108.263,-6.7344,75.2,49.9129
96793,Pos Meteorologi Penggung,JAWA,JAWA,JAWA,108.539,-6.7553,40.8,157.0729
96797,Stamet Tegal,JAWA,JAWA,JAWA,109.121,-6.8682,40.8,74.4526
96805,Stamet Tunggul Wulung,JAWA,JAWA,JAWA,109.0149,-7.7189,51.4,96.5063
96807,Stageof Banjarnegara,JAWA,JAWA,JAWA,109.7069,-7.333,361.3,45.0339
96835,Staklim Semarang,JAWA,JAWA,JAWA,110.3812,-6.9847,307.5,16.102
96851,Staklim Sleman,JAWA,JAWA,JAWA,110.354,-7.731,60,61.1566
96855,Stageof Sleman,JAWA,JAWA,JAWA,110.3,-7.82,21.4,65.9823
96925,Stamet Sangkapura,JAWA,JAWA,JAWA,112.6578,-5.8511,116.3,20.2076
96935,Stamet Juanda,JAWA,JAWA,JAWA,112.7833,-7.3846,5.6,1.8056
96939,Stamet Tuban,JAWA,JAWA,JAWA,111.9918,-6.8229,10,1.5774
96943,Staklim Malang,JAWA,JAWA,JAWA,112.5979,-7.9008,26.3,41.0326
96945,Stageof Pasuruan,JAWA,JAWA,JAWA,112.6353,-7.7046,34.3,61.5396
96949,Stageof Malang,JAWA,JAWA,JAWA,112.45,-8.15,47.4,31.1731
96973,Stamet Kalianget,JAWA,JAWA,JAWA,113.914,-7.0398,77.6,3.1361
96975,Stageof Nganjuk,JAWA,JAWA,JAWA,111.7668,-7.7349,48.1,26.5519
96987,Stamet Banyuwangi,JAWA,JAWA,JAWA,114.3553,-8.215,4.2,5.1938
97008,Stamet Naha,SULAWESI,SULAWESI,SULAWESI,125.5288,3.6859,12.6,0.035647
97010,Stageof Winangun,SULAWESI,SULAWESI,SULAWESI,124.8389,1.4434,113,25.9936
97014,Stamet Sam Ratulangi,SULAWESI,SULAWESI,SULAWESI,124.9234,1.5457,3.7,9.5725
97016,Stamet Maritim Bitung,SULAWESI,SULAWESI,SULAWESI,125.1797,1.4431,14.4,1.714
97028,Stamet Sultan Bantilan,SULAWESI,SULAWESI,SULAWESI,120.7943,1.1211,11,7.7383
97052,Staklim Bone Bolango,SULAWESI,SULAWESI,SULAWESI,123.14,0.556,72.6,20.8106
97072,Stamet Mutiara Sis Al Jufri,SULAWESI,SULAWESI,SULAWESI,119.9055,-0.91589,8.1,96.7684
97086,Stamet Syukuran Aminudin Amir,SULAWESI,SULAWESI,SULAWESI,122.771,-1.0406,4,32.3706
97096,Stamet Kasiguncu,SULAWESI,SULAWESI,SULAWESI,120.657,-1.4204,67,48.0643
97126,Stamet Andi Jemma,SULAWESI,SULAWESI,SULAWESI,120.3242,-2.5547,186.2,138.4053
